"[""Please translate Font Name", Font Size, Font Style, and Translation Text. If these fields are blank," they are unavailable for translation.""]",,,,
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Description,Menu.pult_bt.btn_Login5,,,,Menu button,Menu button,,
Caption,Menu.pult_bt.btn_Login5,Calibri,16,1,Пульт,Control panel,,
Description,Menu.measure_btn.btn_Login6,,,,Menu button,Menu button,,
Caption,Menu.measure_btn.btn_Login6,Calibri,16,1,Измерения,Measurements,,
Description,Menu.sql_btn.btn_Login7,,,,Menu button,Menu button,,
Caption,Menu.sql_btn.btn_Login7,Calibri,16,1,Протокол,Log,,
Description,Menu.historian_bt.btn_Login8,,,,Menu button,Menu button,,
Caption,Menu.historian_bt.btn_Login8,Calibri,16,1,История аналоговых параметров,Analog parameters history,,
Description,Menu.tk2_btn.btn_Login9,,,,Menu button,Menu button,,
Caption,Menu.tk2_btn.btn_Login9,Calibri,16,1,Электропроверки,Electrics check,,
Description,Menu.close_btn.btn_Login10,,,,Menu button,Menu button,,
Caption,Menu.close_btn.btn_Login10,Calibri,16,1,Закрыть,Close,,
Description,Menu.exit_btn.btn_Login11,,,,Menu button,Menu button,,
Caption,Menu.exit_btn.btn_Login11,Calibri,16,1,Выключить,Power off,,
Description,Menu.security_btn.btn_Login12,,,,Menu button,Menu button,,
Caption,Menu.security_btn.btn_Login12,Calibri,16,1,Безопасность,Security,,
Description,Menu.close_btn1.btn_Login13,,,,Menu button,Menu button,,
Caption,Menu.close_btn1.btn_Login13,Calibri,16,1,ru,ru,,
Description,Menu.close_btn2.btn_Login14,,,,Menu button,Menu button,,
Caption,Menu.close_btn2.btn_Login14,Calibri,16,1,EN,EN,,
